frecuencia,id_externo,moneda,tipo_cambio,fecha,fecha_contable,nota,subsidiaria,nota_linea,id_cuenta_contable,numero_cuenta_contable,debito,credito,external_id_tercero,nombre_tercero,clase,departamento,ubicacion_centro_costo
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,HOLDING PJV,100-SALARIO,1,611101.01-1,11824.94,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,METRO PANAMA PJV,100-SALARIO,1,611101.01-1,1207.32,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NORTE PANAMA PJV,100-SALARIO,1,611101.01-1,1529.76,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NORTE PANAMA PJV,100-SALARIO,1,611101.01-1,2457.08,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NORTE PANAMA PJV,100-SALARIO,1,611101.01-1,1257.32,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NORTE PANAMA PJV,100-SALARIO,1,611101.01-1,2443.89,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NORTE PANAMA PJV,100-SALARIO,1,611101.01-1,1804.76,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,ESTE PANAMA PJV,100-SALARIO,1,611101.01-1,3029.68,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,ESTE PANAMA PJV,100-SALARIO,1,611101.01-1,909.88,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,AFUERA COLON PJV,100-SALARIO,1,611101.01-1,2139.32,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,AFUERA COLON PJV,100-SALARIO,1,611101.01-1,1564.76,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,CENTRO PANAMA PJV,100-SALARIO,1,611101.01-1,2277.68,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,INTERIOR PANAMA PJV,100-SALARIO,1,611101.01-1,1217.32,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,INTERIOR PANAMA PJV,100-SALARIO,1,611101.01-1,909.88,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NUEVO GRUPO PJV,100-SALARIO,1,611101.01-1,1202.32,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NUEVO GRUPO PJV,100-SALARIO,1,611101.01-1,904.88,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,ESTE PANAMA PJV,100-SALARIO,1,611101.01-1,969.88,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,NUEVO GRUPO PJV,100-SALARIO,1,611101.01-1,932.38,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,CENTRO PANAMA PJV,100-SALARIO,1,611101.01-1,2767.08,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,CENTRO PANAMA PJV,100-SALARIO,1,611101.01-1,924.88,0,,...,,,
2,"1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021",US Dollar,1,"2021-12-01","dic2021",0001#333100-10-12-2021,CENTRO PANAMA PJV,100-SALARIO,1,611101.01-1,297.44,0,,...,,,
