frecuencia,id_externo,moneda,tipo_cambio,fecha,fecha_contable,nota,subsidiaria,nota_linea,id_cuenta_contable,numero_cuenta_contable,debito,credito,external_id_tercero,nombre_tercero,clase,departamento,ubicacion_centro_costo
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333100-10-12-2021,HOLDING PJV,100-SALARIO,1,611101.01-1,11804.14,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333106-10-12-2021,HOLDING PJV,106-HORA EXTRA DIURNA (1.25),2,611101.02-1,274.53,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333123-10-12-2021,HOLDING PJV,123-HORA EXTRAS MIXTA DIURNA(1.50),2,611101.02-1,8.32,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333145-10-12-2021,HOLDING PJV,145-GASTOS DE REPRESENTACION,5,611101.20,250.00,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333158-10-12-2021,HOLDING PJV,158-HORA EXTRA DIURNA (MAN),2,611101.02-1,158.58,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333159-10-12-2021,HOLDING PJV,159-EXTRA  MIXTA DIURNA (MAN),2,611101.02-1,53.18,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333162-10-12-2021,HOLDING PJV,162-DOMINGO O L/SEMANAL (MAN),3,611101.03-1,28.36,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333163-10-12-2021,HOLDING PJV,163-HORA EXTRA DOMINGO DIURNA (MAN),2,611101.02-1,103.54,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333165-10-12-2021,HOLDING PJV,165-DIA NACIONAL (MAN),3,611101.03-1,85.10,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333176-10-12-2021,HOLDING PJV,176-VIATICOS,4,611101.18,317.50,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333177-10-12-2021,HOLDING PJV,177-AJUSTE X RECLAMO,1,611101.01-1,3.85,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333181-10-12-2021,HOLDING PJV,181-VIATICOS DE ALIMENTACION,4,611101.18,87.50,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333182-10-12-2021,HOLDING PJV,182-HORA EXTRA MIXTA NAL. (MAN),2,611101.02-1,219.03,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333183-10-12-2021,HOLDING PJV,183-NO COMP. L/LABORADO,3,611101.03-1,85.10,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333186-10-12-2021,HOLDING PJV,186-NO COMP. NAC/LABORADO,3,611101.03-1,28.36,0,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333200-10-12-2021,HOLDING PJV,200-SEGURO SOCIAL ( POR PAGAR TRABAJADOR),6,212502.01,0,1277.48,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333201-10-12-2021,HOLDING PJV,201-SEGURO EDUCATIVO (POR PAGAR TRABAJADOR.),7,212502.02,0,160.62,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333202-10-12-2021,HOLDING PJV,202-IMPUESTO SOBRE LA RENTA (POR PAGAR TRABAJADOR.),8,212502.04,0,502.96,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333208-10-12-2021,HOLDING PJV,208-IMPUESTO SOBRE LA RENTA (POR PAGAR TRABAJADOR) GR,8,212502.04,0,25.00,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333215-10-12-2021,HOLDING PJV,215-IMPUESTO SOBRE LA RENTA (I.S.R.) MAN,8,212502.04,0,74.76,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333502-10-12-2021,HOLDING PJV,502-Banco La Hipotecaria, S. A.,9,212503.01,0,52.00,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#333525-10-12-2021,HOLDING PJV,525-Progreso,9,212503.01,0,30.00,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#3333000-10-12-2021,HOLDING PJV,3000-Patronal C.S.S.  (GASTO ),36,611101.10-1,1605.00,0.00,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#3333000-10-12-2021,HOLDING PJV,3000-Patronal C.S.S.  (GASTO ) Por Pagar,103,21220201,0.00,1605.00,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#3333001-10-12-2021,HOLDING PJV,3001-Patronal  S.E    (GASTO ),37,611101.11-1,192.79,0.00,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#3333001-10-12-2021,HOLDING PJV,3001-Patronal  S.E    (GASTO ) Por Pagar,104,21220202,0.00,192.79,,,,,
2,1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021,US Dollar,1,2021-12-01,"dic2021",0001#3339005-10-12-2021,HOLDING PJV,9005-Prima de Antiguedad Reserva  (GASTO ),42,611101.06-1,251.96,0.00,,,,,
