frecuencia;id_externo;moneda;tipo_cambio;fecha;fecha_contable;nota;subsidiaria;nota_linea;id_cuenta_contable;numero_cuenta_contable;debito;credito;external_id_tercero;nombre_tercero;clase;departamento;ubicacion_centro_costo
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333100-10-12-2021;HOLDING PJV;100-SALARIO;1;611101.01-1;22852.58;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333106-10-12-2021;HOLDING PJV;106-HORA EXTRA DIURNA (1.25);2;611101.02-1;345.76;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333123-10-12-2021;HOLDING PJV;123-HORA EXTRAS MIXTA DIURNA(1.50);2;611101.02-1;14.09;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333145-10-12-2021;HOLDING PJV;145-GASTOS DE REPRESENTACION;5;611101.20;500.00;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333158-10-12-2021;HOLDING PJV;158-HORA EXTRA DIURNA (MAN);2;611101.02-1;158.58;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333159-10-12-2021;HOLDING PJV;159-EXTRA  MIXTA DIURNA (MAN);2;611101.02-1;55.66;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333162-10-12-2021;HOLDING PJV;162-DOMINGO O L/SEMANAL (MAN);3;611101.03-1;28.36;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333163-10-12-2021;HOLDING PJV;163-HORA EXTRA DOMINGO DIURNA (MAN);2;611101.02-1;103.54;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333165-10-12-2021;HOLDING PJV;165-DIA NACIONAL (MAN);3;611101.03-1;85.10;0;;;;;
3;2DA QUINCENA DICIEMBRE DEL 16/12/2021 - AL 31/12/2021;US Dollar;1;2021-12-16;"dic2021";0001#333169-24-12-2021;HOLDING PJV;169-CERTIFICADO MEDICO;1;611101.01-1;26.15;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333176-10-12-2021;HOLDING PJV;176-VIATICOS;4;611101.18;635.00;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333177-10-12-2021;HOLDING PJV;177-AJUSTE X RECLAMO;1;611101.01-1;3.85;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333181-10-12-2021;HOLDING PJV;181-VIATICOS DE ALIMENTACION;4;611101.18;153.00;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333182-10-12-2021;HOLDING PJV;182-HORA EXTRA MIXTA NAL. (MAN);2;611101.02-1;219.03;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333183-10-12-2021;HOLDING PJV;183-NO COMP. L/LABORADO;3;611101.03-1;85.10;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333186-10-12-2021;HOLDING PJV;186-NO COMP. NAC/LABORADO;3;611101.03-1;28.36;0;;;;;
2;PRIMA DE PRODUCCIÓN DE ADENDAS DICIEMBRE 2021 - DEL 01/12/2021 AL 31/;US Dollar;1;2022-01-01;"ene2022";0001#333188-07-01-2022;HOLDING PJV;188-PRIMAS DE PRODUCCION X ADENDAS;1;611101.01-1;78.40;0;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333200-10-12-2021;HOLDING PJV;200-SEGURO SOCIAL ( POR PAGAR TRABAJADOR);6;212502.01;0;2382.17;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333201-10-12-2021;HOLDING PJV;201-SEGURO EDUCATIVO (POR PAGAR TRABAJADOR.);7;212502.02;0;299.13;;;;;
2;1RA QUINCENA -DICIEMBRE  DEL 01/12/2021 - AL 15/12/2021;US Dollar;1;2021-12-01;"dic2021";0001#333202-10-12-2021;HOLDING PJV;202-IMPUESTO SOBRE LA RENTA (POR PAGAR TRABAJADOR.);8;212502.04;0;1027.13;;;;;
